"REGION_NAME"
"Spokane"
"King"
"Lincoln"
"Pend Oreille"
"Whitman"
"Ferry"
"Stevens"
"Adams"
"Douglas"
"Okanogan"
"Grant"
"Pierce"
"Thurston"
"Kittitas"
"Chelan"
"Yakima"
"Kitsap"
"Benton"
"Franklin"
"Southeast"
"Skagit"
"Klickitat"
"Snohomish"
"Mason"
"San Juan"
"Whatcom"
"Island"
"Skamania"
"Walla Walla"
"Lewis"
"Clallam"
"Jefferson"
"Pacific"
"Grays Harbor"
"Wahkiakum"
"Clark"
"Cowlitz"
